Soil_Type,Soil_pH,Moisture_Level,Season,Location_Region,Previous_Crop,Recommended_Crop
Red,5.74,High,Kharif,Punjab,Pulses,Cotton
Alluvial,8.15,Medium,Zaid,Gujarat,Rice,Groundnut
Sandy,4.91,Medium,Zaid,Punjab,Sugarcane,Soybean
Laterite,6.12,Medium,Rabi,Bihar,Cotton,Sugarcane
Loamy,6.25,High,Kharif,Bihar,Cotton,Cotton
Alluvial,8.12,Medium,Kharif,Maharashtra,Sugarcane,Groundnut
Alluvial,5.56,High,Kharif,Haryana,Pulses,Maize
Black,7.48,Low,Zaid,Gujarat,Sugarcane,Wheat
Red,7.7,Medium,Kharif,Haryana,Sugarcane,Cumin
Red,7.92,Low,Kharif,Gujarat,Wheat,Pulses
Loamy,4.85,High,Zaid,Kerala,Sugarcane,Cotton
Laterite,7.46,High,Kharif,Haryana,Wheat,Pulses
Red,8.35,Low,Kharif,Kerala,Sugarcane,Cotton
Black,5.38,Low,Kharif,Kerala,Sugarcane,Cumin
Laterite,4.97,Low,Rabi,Tamil Nadu,Maize,Wheat
Red,7.49,High,Zaid,Telangana,None,Maize
Clay,8.06,Low,Rabi,Karnataka,Groundnut,Maize
Black,5.94,High,Zaid,Karnataka,Wheat,Banana
Clay,8.08,Medium,Kharif,Uttar Pradesh,Pulses,Sugarcane
Alluvial,6.79,Medium,Rabi,Telangana,Cotton,Soybean
Black,4.79,Medium,Zaid,Bihar,None,Soybean
Red,7.83,High,Kharif,Haryana,Wheat,Maize
Red,5.81,High,Zaid,Karnataka,Sugarcane,Groundnut
Sandy,6.1,Medium,Kharif,Tamil Nadu,None,Banana
Laterite,7.71,High,Kharif,Gujarat,Rice,Rice
Black,7.21,Medium,Zaid,Tamil Nadu,Pulses,Sugarcane
Red,6.14,High,Zaid,Uttar Pradesh,Wheat,Wheat
Clay,4.88,Medium,Rabi,Karnataka,Maize,Maize
Black,7.77,Medium,Rabi,Kerala,Wheat,Soybean
Red,7.56,High,Kharif,Maharashtra,Maize,Maize
Alluvial,4.67,Medium,Zaid,Bihar,Wheat,Banana
Laterite,5.67,High,Zaid,Uttar Pradesh,Pulses,Rice
Loamy,6.17,High,Rabi,Tamil Nadu,Cotton,Cumin
Sandy,7.32,Low,Zaid,Uttar Pradesh,Pulses,Sugarcane
Black,4.8,Low,Zaid,Haryana,Wheat,Pulses
Laterite,8.4,Medium,Zaid,Kerala,Rice,Pulses
Black,7.43,High,Zaid,Bihar,Rice,Soybean
Laterite,5.55,Medium,Kharif,Tamil Nadu,Wheat,Sugarcane
Laterite,7.97,Low,Rabi,Tamil Nadu,Rice,Cumin
Laterite,8.25,Low,Zaid,Karnataka,None,Soybean
Loamy,7.99,Low,Zaid,Punjab,Cotton,Pulses
Red,5.48,Low,Rabi,Gujarat,Wheat,Wheat
Alluvial,5.97,Medium,Rabi,Punjab,Groundnut,Soybean
Clay,5.49,Medium,Zaid,Bihar,Pulses,Cotton
Sandy,5.21,Medium,Zaid,Haryana,Sugarcane,Cumin
Clay,6.32,Low,Rabi,Bihar,Wheat,Cotton
Black,4.92,Low,Rabi,Punjab,Sugarcane,Sugarcane
Alluvial,6.81,Low,Kharif,Bihar,Sugarcane,Soybean
Sandy,5.44,Medium,Zaid,Uttar Pradesh,Wheat,Cotton
Alluvial,7.9,High,Kharif,Bihar,None,Banana
Red,7.37,High,Rabi,Haryana,Wheat,Sugarcane
Loamy,5.19,Low,Kharif,Gujarat,None,Pulses
Laterite,6.57,High,Rabi,Telangana,Sugarcane,Wheat
Laterite,7.06,Medium,Rabi,Punjab,Maize,Cotton
Clay,4.88,Low,Rabi,Telangana,None,Groundnut
Laterite,7.64,High,Zaid,Tamil Nadu,Cotton,Sugarcane
Alluvial,4.96,Medium,Zaid,Tamil Nadu,Wheat,Pulses
Sandy,7.28,Low,Rabi,Gujarat,Maize,Maize
Laterite,6.57,Medium,Kharif,Punjab,Sugarcane,Wheat
Alluvial,6.33,Low,Rabi,Kerala,Cotton,Rice
Black,6.89,High,Zaid,Tamil Nadu,Groundnut,Cotton
Black,6.98,Medium,Kharif,Haryana,Cotton,Wheat
Alluvial,4.58,High,Zaid,Telangana,Cotton,Sugarcane
Sandy,5.86,Medium,Zaid,Maharashtra,Rice,Groundnut
Loamy,8.06,High,Zaid,Haryana,Sugarcane,Rice
Red,6.26,Low,Kharif,Tamil Nadu,Cotton,Cotton
Sandy,5.96,Medium,Zaid,Kerala,Groundnut,Cumin
Alluvial,8.32,Low,Zaid,Kerala,Pulses,Rice
Red,5.0,Medium,Rabi,Bihar,Maize,Wheat
Loamy,6.29,High,Rabi,Tamil Nadu,Pulses,Wheat
Red,5.55,Medium,Zaid,Uttar Pradesh,Cotton,Banana
Alluvial,6.21,Low,Kharif,Kerala,Maize,Wheat
Black,6.81,Medium,Rabi,Gujarat,Wheat,Pulses
Sandy,6.88,High,Zaid,Uttar Pradesh,Groundnut,Maize
Red,4.86,High,Rabi,Telangana,Wheat,Groundnut
Red,6.3,Medium,Zaid,Uttar Pradesh,Pulses,Maize
Laterite,8.38,Low,Zaid,Kerala,Cotton,Cotton
Laterite,7.83,Low,Rabi,Tamil Nadu,None,Soybean
Laterite,7.07,Medium,Kharif,Punjab,Wheat,Pulses
Alluvial,4.59,Low,Kharif,Bihar,Sugarcane,Pulses
Laterite,5.59,Low,Zaid,Telangana,Sugarcane,Rice
Red,6.49,Medium,Zaid,Kerala,Rice,Cumin
Loamy,7.97,Medium,Zaid,Maharashtra,Groundnut,Wheat
Alluvial,5.59,High,Zaid,Gujarat,Cotton,Banana
Loamy,7.52,Low,Rabi,Maharashtra,Sugarcane,Maize
Red,7.76,Low,Zaid,Bihar,Pulses,Cumin
Red,5.72,Medium,Kharif,Haryana,Cotton,Pulses
Red,6.29,Medium,Rabi,Maharashtra,None,Maize
Laterite,5.82,Medium,Zaid,Punjab,Rice,Maize
Clay,7.44,Low,Kharif,Bihar,Groundnut,Cotton
Laterite,4.67,Medium,Zaid,Kerala,Rice,Maize
Alluvial,7.19,Medium,Kharif,Karnataka,Maize,Maize
Black,8.36,Medium,Zaid,Maharashtra,Rice,Cotton
Red,4.88,Low,Rabi,Telangana,Sugarcane,Groundnut
Loamy,4.7,High,Rabi,Punjab,Rice,Groundnut
Clay,6.16,Medium,Rabi,Haryana,Rice,Wheat
Red,7.07,High,Zaid,Bihar,Maize,Wheat
Black,7.64,High,Kharif,Uttar Pradesh,Sugarcane,Maize
Alluvial,7.53,High,Zaid,Uttar Pradesh,Sugarcane,Sugarcane
Clay,8.06,Medium,Kharif,Kerala,Sugarcane,Groundnut
Loamy,8.21,Medium,Rabi,Kerala,Maize,Rice
Red,7.53,Medium,Kharif,Punjab,Sugarcane,Sugarcane
Laterite,8.45,High,Zaid,Kerala,Rice,Cumin
Laterite,6.83,Low,Kharif,Maharashtra,None,Groundnut
Alluvial,5.96,Medium,Zaid,Kerala,None,Cotton
Alluvial,4.5,High,Kharif,Punjab,Cotton,Cumin
Red,8.3,Medium,Zaid,Kerala,Pulses,Cumin
Loamy,6.58,Medium,Rabi,Kerala,None,Wheat
Clay,4.89,High,Zaid,Haryana,Sugarcane,Banana
Laterite,6.14,Medium,Zaid,Haryana,Groundnut,Cumin
Alluvial,8.14,High,Rabi,Kerala,Rice,Groundnut
Loamy,6.05,Low,Zaid,Tamil Nadu,Sugarcane,Banana
Red,5.7,High,Zaid,Tamil Nadu,None,Sugarcane
Sandy,5.48,Low,Rabi,Tamil Nadu,Pulses,Wheat
Loamy,8.24,High,Rabi,Tamil Nadu,Maize,Cumin
Alluvial,8.02,Low,Rabi,Bihar,Rice,Pulses
Loamy,5.54,High,Rabi,Kerala,Rice,Cotton
Red,5.65,Medium,Kharif,Karnataka,Rice,Sugarcane
Sandy,7.71,Medium,Rabi,Haryana,None,Banana
Sandy,4.51,Low,Rabi,Gujarat,Maize,Pulses
Laterite,5.04,High,Rabi,Haryana,Rice,Pulses
Clay,5.33,Low,Rabi,Maharashtra,Wheat,Maize
Alluvial,6.26,Medium,Kharif,Karnataka,None,Pulses
Black,5.47,Low,Zaid,Punjab,Rice,Maize
Red,6.53,Medium,Rabi,Telangana,Rice,Groundnut
Black,6.92,Low,Zaid,Tamil Nadu,Pulses,Banana
Laterite,6.2,Medium,Rabi,Punjab,None,Banana
Alluvial,6.64,High,Zaid,Kerala,Groundnut,Cumin
Clay,5.81,High,Zaid,Uttar Pradesh,Pulses,Wheat
Laterite,8.08,High,Rabi,Telangana,Groundnut,Pulses
Loamy,8.01,High,Rabi,Bihar,Cotton,Rice
Red,6.45,High,Zaid,Punjab,None,Cumin
Laterite,4.79,Low,Rabi,Haryana,Wheat,Pulses
Laterite,7.86,High,Zaid,Tamil Nadu,Maize,Pulses
Alluvial,8.08,Low,Zaid,Maharashtra,Rice,Wheat
Laterite,4.66,Medium,Kharif,Telangana,Sugarcane,Wheat
Alluvial,8.5,High,Rabi,Tamil Nadu,Pulses,Soybean
Laterite,7.17,Low,Rabi,Karnataka,Wheat,Cumin
Laterite,7.52,Low,Zaid,Bihar,None,Cumin
Sandy,6.41,High,Zaid,Gujarat,Rice,Maize
Alluvial,5.87,Medium,Rabi,Haryana,Rice,Sugarcane
Loamy,7.96,High,Zaid,Uttar Pradesh,Pulses,Groundnut
Sandy,7.39,High,Rabi,Bihar,Groundnut,Cumin
Alluvial,7.26,High,Zaid,Haryana,Pulses,Wheat
Red,7.01,High,Zaid,Haryana,Sugarcane,Cotton
Clay,6.52,Low,Rabi,Haryana,Rice,Pulses
Laterite,7.59,Medium,Rabi,Tamil Nadu,Pulses,Groundnut
Alluvial,7.26,High,Zaid,Haryana,Cotton,Groundnut
Clay,7.19,High,Kharif,Uttar Pradesh,Maize,Cumin
Red,7.63,Medium,Rabi,Bihar,Maize,Rice
Loamy,5.37,High,Kharif,Uttar Pradesh,Cotton,Rice
Red,5.97,Medium,Kharif,Uttar Pradesh,Sugarcane,Wheat
Loamy,7.91,High,Rabi,Tamil Nadu,Rice,Sugarcane
Clay,4.72,Medium,Zaid,Haryana,Wheat,Soybean
Laterite,5.1,Medium,Rabi,Gujarat,Wheat,Cumin
Sandy,8.16,High,Kharif,Uttar Pradesh,Rice,Banana
Alluvial,5.47,High,Zaid,Tamil Nadu,Pulses,Cumin
Sandy,5.86,Medium,Rabi,Maharashtra,None,Wheat
Loamy,5.44,Medium,Zaid,Punjab,Sugarcane,Pulses
Loamy,6.84,Low,Zaid,Uttar Pradesh,Pulses,Groundnut
Sandy,6.11,High,Zaid,Tamil Nadu,None,Rice
Black,8.21,Medium,Kharif,Punjab,None,Groundnut
Laterite,6.58,Low,Zaid,Uttar Pradesh,Groundnut,Groundnut
Loamy,5.85,Medium,Zaid,Tamil Nadu,Pulses,Cumin
Alluvial,6.16,Low,Zaid,Telangana,Groundnut,Cumin
Alluvial,6.52,Medium,Zaid,Tamil Nadu,Sugarcane,Pulses
Alluvial,5.22,Medium,Rabi,Tamil Nadu,Pulses,Groundnut
Laterite,7.12,Medium,Zaid,Karnataka,Maize,Sugarcane
Loamy,6.32,High,Rabi,Haryana,Maize,Maize
Sandy,6.33,Low,Zaid,Bihar,Cotton,Sugarcane
Sandy,8.47,Medium,Rabi,Gujarat,Pulses,Cotton
Sandy,8.05,Low,Rabi,Bihar,Maize,Banana
Red,5.3,Low,Rabi,Bihar,Cotton,Sugarcane
Alluvial,4.99,High,Rabi,Kerala,Cotton,Maize
Laterite,5.74,Medium,Kharif,Punjab,Rice,Sugarcane
Loamy,7.77,Medium,Kharif,Maharashtra,Rice,Rice
Black,8.16,High,Zaid,Tamil Nadu,Maize,Soybean
Sandy,6.57,Medium,Rabi,Telangana,Cotton,Wheat
Alluvial,7.87,Medium,Kharif,Tamil Nadu,None,Maize
Clay,7.19,Low,Kharif,Karnataka,None,Banana
Black,6.76,Low,Zaid,Kerala,Cotton,Soybean
Alluvial,5.47,Low,Zaid,Karnataka,None,Pulses
Loamy,7.46,Low,Zaid,Haryana,Pulses,Soybean
Sandy,6.83,High,Kharif,Punjab,Wheat,Wheat
Loamy,5.21,High,Zaid,Tamil Nadu,Wheat,Wheat
Laterite,7.95,Low,Zaid,Punjab,Pulses,Groundnut
Clay,5.35,Medium,Zaid,Karnataka,Wheat,Cumin
Alluvial,8.12,Medium,Kharif,Gujarat,Wheat,Cumin
Laterite,6.49,Low,Zaid,Haryana,Maize,Banana
Sandy,6.05,High,Kharif,Telangana,Maize,Maize
Black,8.03,Low,Rabi,Kerala,Groundnut,Sugarcane
Sandy,5.26,High,Zaid,Maharashtra,Maize,Sugarcane
Sandy,4.55,Low,Rabi,Gujarat,Pulses,Maize
Loamy,7.74,Medium,Kharif,Haryana,Rice,Sugarcane
Loamy,5.6,Medium,Zaid,Karnataka,Sugarcane,Pulses
Sandy,5.93,Low,Kharif,Telangana,Rice,Cotton
Black,6.06,High,Rabi,Uttar Pradesh,None,Soybean
Clay,5.54,Medium,Zaid,Kerala,Pulses,Cumin
Red,4.8,High,Zaid,Kerala,Sugarcane,Sugarcane
Sandy,5.35,Medium,Rabi,Haryana,Rice,Sugarcane
Laterite,7.65,Medium,Zaid,Gujarat,Pulses,Cotton
Loamy,5.36,High,Zaid,Punjab,None,Pulses
Sandy,5.11,Medium,Rabi,Tamil Nadu,Groundnut,Rice
Alluvial,8.02,Medium,Zaid,Telangana,None,Sugarcane
Alluvial,7.56,High,Rabi,Uttar Pradesh,Pulses,Banana
Laterite,6.13,High,Zaid,Karnataka,None,Cumin
Red,6.04,Medium,Kharif,Haryana,Rice,Pulses
Sandy,4.76,Low,Rabi,Tamil Nadu,Pulses,Banana
Sandy,6.43,High,Rabi,Kerala,Rice,Rice
Red,6.06,Low,Zaid,Maharashtra,Maize,Maize
Alluvial,6.97,High,Kharif,Tamil Nadu,Groundnut,Rice
Black,7.28,Medium,Rabi,Haryana,Wheat,Banana
Sandy,7.99,Medium,Rabi,Uttar Pradesh,Rice,Banana
Black,5.93,Low,Zaid,Kerala,Rice,Groundnut
Laterite,4.96,Medium,Rabi,Bihar,Groundnut,Soybean
Red,5.65,High,Rabi,Punjab,Cotton,Soybean
Black,6.75,Medium,Kharif,Bihar,Groundnut,Groundnut
Red,7.97,High,Zaid,Punjab,Pulses,Wheat
Alluvial,4.99,Low,Kharif,Tamil Nadu,Wheat,Cotton
Clay,7.65,Low,Rabi,Bihar,Maize,Cotton
Laterite,7.73,Low,Zaid,Maharashtra,Maize,Maize
Alluvial,7.37,Medium,Rabi,Maharashtra,Sugarcane,Cotton
Laterite,6.88,Low,Rabi,Gujarat,Groundnut,Maize
Loamy,7.71,High,Rabi,Haryana,Cotton,Groundnut
Laterite,5.68,High,Rabi,Telangana,Rice,Sugarcane
Loamy,5.73,Medium,Rabi,Karnataka,Maize,Maize
Alluvial,8.09,Medium,Rabi,Gujarat,None,Soybean
Laterite,8.0,High,Kharif,Gujarat,Wheat,Rice
Alluvial,7.24,Medium,Rabi,Tamil Nadu,Cotton,Sugarcane
Alluvial,6.35,Medium,Zaid,Kerala,None,Cotton
Laterite,5.75,Medium,Rabi,Kerala,Wheat,Wheat
Sandy,7.88,High,Rabi,Gujarat,Maize,Cotton
Loamy,4.56,Medium,Zaid,Telangana,None,Cumin
Black,7.99,Low,Zaid,Kerala,Groundnut,Rice
Loamy,8.16,High,Zaid,Haryana,Rice,Wheat
Black,5.8,High,Zaid,Telangana,Pulses,Maize
Sandy,5.28,High,Rabi,Maharashtra,Sugarcane,Sugarcane
Laterite,6.26,Low,Zaid,Gujarat,None,Wheat
Clay,7.66,Medium,Rabi,Punjab,Maize,Maize
Alluvial,6.94,High,Rabi,Telangana,Sugarcane,Rice
Laterite,8.28,Low,Zaid,Gujarat,Sugarcane,Rice
Clay,5.48,Low,Zaid,Karnataka,Rice,Cumin
Black,4.99,High,Zaid,Haryana,Maize,Sugarcane
Red,6.53,Low,Kharif,Maharashtra,Groundnut,Sugarcane
Laterite,6.76,High,Zaid,Haryana,Maize,Soybean
Clay,6.13,Low,Rabi,Telangana,Cotton,Pulses
Clay,6.09,High,Zaid,Uttar Pradesh,Cotton,Cotton
Alluvial,6.4,High,Zaid,Telangana,Sugarcane,Soybean
Red,5.01,Low,Rabi,Uttar Pradesh,Cotton,Banana
Red,7.3,High,Zaid,Bihar,Sugarcane,Sugarcane
Alluvial,5.18,High,Kharif,Telangana,None,Maize
Sandy,7.84,High,Zaid,Maharashtra,Groundnut,Cotton
Alluvial,8.49,Low,Rabi,Maharashtra,Cotton,Pulses
Red,6.4,Medium,Kharif,Haryana,None,Rice
Clay,5.8,High,Rabi,Gujarat,Pulses,Cumin
Black,6.54,Medium,Rabi,Karnataka,None,Groundnut
Laterite,4.66,High,Zaid,Bihar,Cotton,Sugarcane
Clay,5.68,High,Rabi,Maharashtra,Sugarcane,Soybean
Black,7.2,Medium,Zaid,Maharashtra,Rice,Rice
Red,7.9,Low,Zaid,Telangana,Pulses,Wheat
Loamy,6.27,High,Zaid,Kerala,Sugarcane,Pulses
Sandy,6.17,Low,Kharif,Bihar,Maize,Rice
Loamy,5.41,Medium,Zaid,Gujarat,Groundnut,Soybean
Black,7.02,High,Rabi,Telangana,Rice,Cumin
Sandy,6.55,Medium,Zaid,Maharashtra,Groundnut,Sugarcane
Sandy,8.13,Medium,Rabi,Tamil Nadu,None,Cotton
Laterite,6.51,High,Rabi,Uttar Pradesh,Wheat,Groundnut
Laterite,5.19,High,Zaid,Gujarat,Pulses,Maize
Black,4.58,Low,Zaid,Gujarat,None,Cotton
Black,4.95,Medium,Rabi,Gujarat,Wheat,Rice
Laterite,8.24,Low,Zaid,Kerala,None,Soybean
Laterite,5.78,Medium,Zaid,Bihar,Sugarcane,Sugarcane
Loamy,5.69,Low,Rabi,Tamil Nadu,Maize,Cotton
Clay,8.39,Low,Zaid,Haryana,Maize,Pulses
Laterite,6.15,High,Rabi,Punjab,None,Sugarcane
Laterite,7.26,High,Rabi,Telangana,Maize,Pulses
Black,4.87,Low,Rabi,Karnataka,Pulses,Maize
Sandy,5.92,Medium,Zaid,Haryana,Cotton,Banana
Sandy,7.83,Low,Zaid,Bihar,Rice,Wheat
Sandy,5.37,Medium,Zaid,Uttar Pradesh,Wheat,Cumin
Laterite,5.52,Medium,Kharif,Haryana,Sugarcane,Rice
Red,6.99,Medium,Rabi,Punjab,Groundnut,Sugarcane
Black,6.0,Low,Zaid,Maharashtra,Rice,Cotton
Red,7.07,High,Zaid,Bihar,Groundnut,Banana
Loamy,7.6,High,Rabi,Telangana,None,Cotton
Laterite,7.48,Medium,Zaid,Gujarat,None,Rice
Sandy,6.78,High,Zaid,Gujarat,Pulses,Cotton
Loamy,6.01,High,Zaid,Haryana,Cotton,Cumin
Red,7.69,Low,Zaid,Uttar Pradesh,Rice,Maize
Clay,7.77,Medium,Kharif,Karnataka,Cotton,Maize
Clay,5.98,Medium,Kharif,Telangana,None,Maize
Sandy,8.21,Low,Kharif,Maharashtra,Rice,Cumin
Alluvial,5.03,Medium,Rabi,Maharashtra,Maize,Soybean
Sandy,5.38,Low,Kharif,Gujarat,None,Rice
Red,7.67,High,Rabi,Uttar Pradesh,Sugarcane,Maize
Black,7.33,High,Zaid,Maharashtra,Wheat,Pulses
Laterite,6.92,Medium,Zaid,Uttar Pradesh,Sugarcane,Sugarcane
Alluvial,4.7,High,Zaid,Bihar,Rice,Soybean
Laterite,5.8,Medium,Rabi,Karnataka,Pulses,Maize
Red,5.93,Low,Zaid,Tamil Nadu,Groundnut,Cumin
Alluvial,5.44,Medium,Kharif,Tamil Nadu,Cotton,Groundnut
Loamy,4.98,High,Kharif,Kerala,None,Soybean
Red,7.03,Low,Zaid,Bihar,None,Rice
Alluvial,8.16,Low,Zaid,Karnataka,Cotton,Banana
Clay,8.28,Low,Zaid,Karnataka,None,Rice
Loamy,6.42,Medium,Kharif,Uttar Pradesh,Pulses,Banana
Clay,7.0,High,Zaid,Haryana,None,Cumin
Sandy,4.89,Low,Rabi,Uttar Pradesh,Groundnut,Pulses
Red,5.28,Low,Kharif,Tamil Nadu,Cotton,Rice
Black,5.27,Medium,Zaid,Gujarat,Sugarcane,Groundnut
Sandy,7.91,Medium,Kharif,Bihar,Groundnut,Rice
Alluvial,8.4,Medium,Kharif,Karnataka,Pulses,Pulses
Clay,4.98,High,Kharif,Tamil Nadu,Groundnut,Banana
Red,7.13,Medium,Rabi,Telangana,Rice,Rice
Laterite,7.92,Low,Kharif,Gujarat,Rice,Groundnut
Loamy,5.42,Low,Zaid,Punjab,Cotton,Pulses
Sandy,4.83,Low,Rabi,Karnataka,Rice,Pulses
Clay,8.03,High,Zaid,Haryana,Cotton,Banana
Laterite,7.93,Medium,Zaid,Karnataka,Rice,Maize
Clay,5.28,Medium,Zaid,Bihar,Pulses,Maize
Loamy,6.65,Low,Rabi,Punjab,Groundnut,Wheat
Clay,6.91,High,Rabi,Maharashtra,Pulses,Soybean
Loamy,6.73,Low,Rabi,Bihar,None,Rice
Clay,7.0,High,Rabi,Maharashtra,Maize,Banana
Laterite,7.23,Low,Rabi,Gujarat,Cotton,Pulses
Red,7.52,Low,Zaid,Kerala,Sugarcane,Cumin
Sandy,6.32,High,Rabi,Karnataka,None,Pulses
Clay,7.2,High,Zaid,Telangana,None,Maize
Black,7.53,Medium,Rabi,Maharashtra,Sugarcane,Wheat
Laterite,6.67,High,Rabi,Telangana,Sugarcane,Rice
Loamy,5.9,High,Kharif,Uttar Pradesh,None,Soybean
Red,5.11,High,Zaid,Tamil Nadu,Groundnut,Maize
Laterite,4.95,Medium,Rabi,Uttar Pradesh,None,Cotton
Alluvial,4.62,High,Rabi,Kerala,None,Maize
Black,7.07,Medium,Kharif,Haryana,Maize,Soybean
Clay,6.98,Low,Rabi,Punjab,Groundnut,Maize
Clay,7.13,High,Zaid,Punjab,Rice,Wheat
Laterite,4.77,High,Zaid,Haryana,Rice,Cumin
Loamy,6.19,Medium,Rabi,Gujarat,Groundnut,Cotton
Alluvial,4.6,High,Kharif,Kerala,Pulses,Cotton
Red,5.24,High,Zaid,Haryana,Rice,Maize
Laterite,7.79,Low,Zaid,Punjab,Cotton,Soybean
Red,7.4,Medium,Rabi,Kerala,Cotton,Banana
Black,6.29,Medium,Rabi,Telangana,Maize,Sugarcane
Alluvial,7.63,Low,Rabi,Telangana,Cotton,Cotton
Black,4.84,High,Rabi,Uttar Pradesh,Sugarcane,Cotton
Red,4.64,High,Zaid,Kerala,Cotton,Cotton
Red,6.89,Low,Rabi,Gujarat,Maize,Rice
Black,6.4,High,Kharif,Karnataka,Maize,Maize
Laterite,6.7,High,Zaid,Uttar Pradesh,Pulses,Groundnut
Sandy,5.18,Medium,Rabi,Karnataka,Rice,Pulses
Red,5.61,Low,Kharif,Kerala,Groundnut,Rice
Loamy,5.33,Medium,Kharif,Punjab,Groundnut,Banana
Laterite,5.77,Low,Rabi,Bihar,Wheat,Banana
Loamy,6.25,Medium,Rabi,Bihar,Wheat,Cotton
Laterite,7.81,Low,Zaid,Maharashtra,Cotton,Soybean
Black,6.92,High,Zaid,Tamil Nadu,Rice,Cotton
Laterite,5.85,Low,Rabi,Gujarat,Cotton,Sugarcane
Loamy,5.85,High,Zaid,Haryana,Rice,Cotton
Clay,6.1,Medium,Rabi,Haryana,Rice,Groundnut
Laterite,6.26,Medium,Rabi,Uttar Pradesh,Wheat,Groundnut
Red,7.65,High,Kharif,Gujarat,Wheat,Pulses
Laterite,6.12,Low,Zaid,Kerala,Sugarcane,Rice
Alluvial,4.98,Low,Kharif,Maharashtra,Pulses,Banana
Red,6.39,Medium,Rabi,Kerala,None,Soybean
Sandy,7.65,High,Zaid,Bihar,Groundnut,Sugarcane
Clay,7.71,Medium,Kharif,Uttar Pradesh,Maize,Wheat
Sandy,5.07,Medium,Kharif,Punjab,Rice,Cotton
Sandy,7.94,Low,Zaid,Bihar,Groundnut,Soybean
Black,5.99,Low,Rabi,Kerala,Sugarcane,Wheat
Clay,7.17,High,Zaid,Bihar,Wheat,Rice
Clay,7.77,High,Zaid,Gujarat,Cotton,Wheat
Loamy,4.91,Low,Kharif,Haryana,Rice,Pulses
Clay,5.43,Medium,Zaid,Maharashtra,Wheat,Pulses
Laterite,6.92,Medium,Rabi,Gujarat,Rice,Maize
Clay,7.73,Medium,Rabi,Tamil Nadu,Wheat,Pulses
Sandy,8.34,Low,Kharif,Uttar Pradesh,Rice,Rice
Alluvial,5.14,Low,Zaid,Uttar Pradesh,Rice,Cotton
Alluvial,6.6,Medium,Zaid,Haryana,Wheat,Cotton
Red,6.86,High,Rabi,Gujarat,Maize,Groundnut
Clay,7.94,Medium,Zaid,Tamil Nadu,Pulses,Sugarcane
Red,8.25,Medium,Rabi,Haryana,Wheat,Cumin
Loamy,8.49,High,Rabi,Punjab,Pulses,Wheat
Alluvial,4.57,Low,Rabi,Telangana,Groundnut,Maize
Alluvial,7.94,Medium,Kharif,Haryana,Maize,Banana
Alluvial,8.02,High,Rabi,Kerala,Maize,Soybean
Alluvial,6.15,High,Zaid,Bihar,None,Cotton
Clay,6.3,High,Zaid,Telangana,Wheat,Banana
Sandy,6.63,Low,Zaid,Gujarat,Wheat,Banana
Clay,6.45,High,Zaid,Bihar,None,Sugarcane
Loamy,6.1,High,Zaid,Tamil Nadu,Wheat,Sugarcane
Loamy,5.47,Low,Rabi,Telangana,Groundnut,Sugarcane
Alluvial,7.44,High,Zaid,Telangana,Rice,Groundnut
Clay,7.92,Low,Kharif,Karnataka,Rice,Pulses
Black,8.18,Low,Rabi,Uttar Pradesh,Groundnut,Groundnut
Loamy,6.6,High,Rabi,Haryana,Groundnut,Maize
Clay,7.11,Low,Rabi,Kerala,Rice,Groundnut
Alluvial,6.43,High,Rabi,Tamil Nadu,Maize,Soybean
Sandy,4.82,Medium,Zaid,Gujarat,Rice,Maize
Loamy,7.88,Medium,Rabi,Bihar,Wheat,Banana
Black,6.56,Medium,Zaid,Tamil Nadu,Pulses,Banana
Alluvial,7.31,High,Zaid,Bihar,Wheat,Pulses
Black,5.67,Low,Zaid,Gujarat,Groundnut,Wheat
Sandy,6.9,High,Kharif,Tamil Nadu,Cotton,Groundnut
Red,7.74,Medium,Zaid,Uttar Pradesh,Rice,Groundnut
Red,5.9,Low,Zaid,Karnataka,Groundnut,Soybean
Laterite,7.64,Medium,Kharif,Tamil Nadu,Groundnut,Soybean
Clay,8.22,Medium,Zaid,Maharashtra,Groundnut,Cotton
Red,8.45,High,Zaid,Kerala,Groundnut,Cotton
Alluvial,8.04,Medium,Rabi,Maharashtra,Cotton,Soybean
Laterite,7.42,High,Rabi,Tamil Nadu,Rice,Groundnut
Laterite,7.17,High,Rabi,Bihar,None,Cumin
Laterite,8.07,Medium,Zaid,Kerala,Pulses,Pulses
Loamy,7.27,Medium,Zaid,Punjab,None,Cotton
Sandy,7.34,High,Zaid,Karnataka,Cotton,Pulses
Clay,4.61,Low,Rabi,Karnataka,Groundnut,Sugarcane
Sandy,8.48,Medium,Rabi,Telangana,Rice,Sugarcane
Clay,5.58,Low,Kharif,Maharashtra,Sugarcane,Cumin
Clay,7.71,Medium,Rabi,Maharashtra,Wheat,Soybean
Red,4.59,Medium,Rabi,Uttar Pradesh,Sugarcane,Sugarcane
Loamy,5.72,High,Zaid,Gujarat,Pulses,Soybean
Sandy,5.6,Medium,Kharif,Telangana,Wheat,Sugarcane
Alluvial,5.29,Low,Rabi,Haryana,None,Groundnut
Clay,6.17,High,Kharif,Bihar,Pulses,Soybean
Clay,5.52,Low,Rabi,Uttar Pradesh,Cotton,Soybean
Clay,5.61,High,Zaid,Uttar Pradesh,Maize,Rice
Clay,6.95,High,Kharif,Kerala,Rice,Maize
Alluvial,6.26,Low,Zaid,Kerala,Rice,Soybean
Black,7.26,Low,Kharif,Haryana,Cotton,Banana
